index,link,title,description,positive,negative,neutral,compound,Month
31,https://www.erienewsnow.com/story/41454326/trump-needs-a-better-response-to-kim-jong-uns-new-years-resolution,Trump needs a better response to Kim Jong Un's New Year's ...,"9 hours ago · While Kim Jong Un may like hyperbole almost as much as President Donald Trump does, his regime's latest claim of successfully conducting ""another crucial...",0.225,0.0,0.775,0.4404,December
32,https://stockdailydish.com/north-korea-security-boss-purged-after-trying-to-topple-kim-jong-un/,North Korea security boss PURGED after trying to topple Kim Jong-un,"10 hours ago · WIPED OUT: Kim Won-hong, right, was reportedly purged earlier this year. It emerged last month that , its state security minister. Now it's transpired that the...",0.194,0.0,0.806,0.34,December
33,https://stockdailydish.com/north-korea-expert-reveals-what-this-photo-says-about-kim-jong-un/,North Korea expert reveals what THIS photo says about Kim Jong-un,"13 hours ago · WEIRD: In this photo Kim Jong-un appears to be friendly offering a piggyback to an officer. A strange, new photo has emerged which shows the usually cold Kim...",0.0,0.0,1.0,0.0,December
34,https://www.express.co.uk/news/world/1217606/north-korea-news-world-war-3-nuclear-weapon-usa-rocket-launch-Kim-Jong-Un,North Korea sends war warning to US as it threatens to 'overpower ...,"17 hours ago · In a later statement carried by KCNA, Chief of the General Staff Pak Jong Chon said ... Kim Jong-un sends Trump message secret warning with visit to mountain...",0.0,0.471,0.529,-0.836,December
35,https://wellstonjournal.com/kim-jong-un-fires-ballistic-missile-in-warning-to-donald-trump.html,Kim Jong-un FIRES 'ballistic missile in warning to Donald Trump',19 hours ago · South Korea's Joint Chiefs of Staff said: “North Korea's test-firing of the ballistic missile is a provocation that flagrantly violates the UN Security Council...,0.0,0.211,0.789,-0.34,December
36,https://tribune.com.pk/story/2118436/3-watch-kim-jong-un-rides-north-korea-warns-us-using-military-force/,WATCH: Kim Jong Un rides again as North Korea warns US against ...,"19 hours ago · SEOUL: The statement came just hours after North Korea announced it would convene a rare gathering of top ruling-party officials later this month, and state...",0.0,0.104,0.896,-0.1027,December
37,https://skift.com/2019/12/15/north-korea-opens-ski-resort-amid-major-tourism-push/,North Korea Opens Ski Resort Amid Major Tourism Push,20 hours ago · North Korean leader Kim Jong Un opened a new mountain spa and ski resort that's intended for people to enjoy “high civilization under socialism” in another...,0.0,0.0,1.0,0.0,December
38,https://thehill.com/policy/defense/474524-washington-braces-as-north-korea-deadline-looms,Washington braces as North Korea deadline looms,21 hours ago · Hopes for revived negotiations were piqued when Trump met with Kim at the Korean ... “I have a very good relationship with Kim Jong Un. I think we both want to...,0.0,0.211,0.789,-0.1531,December
39,https://www.wsj.com/articles/why-north-korea-might-wait-things-out-with-u-s-11576405800,Why North Korea Might Wait Things Out With U.S.,"1 day ago · But now, North Korean leader Kim Jong Un might be the one prepared to wait. Pyongyang has kept its economy afloat by sidestepping sanctions, using its local...",0.0,0.0,1.0,0.0,December
40,https://windstreetz.com/gain-trump-and-kim-jong-un-fallen-out-of-appreciate/248996/,Gain Trump and Kim Jong Un fallen out of 'appreciate'?,"1 day ago · Last week, Trump blasted Kim Jong Un as “Rocket Man,” and North Korea fired inspire that he became struggling “a relapse of the dotage of a dotage.",0.245,0.18,0.576,0.2263,December
41,https://windstreetz.com/kim-jong-un-appears-to-be-like-to-take-vulgar-step-against-spying-cnn-video/248982/,Kim Jong Un appears to be like to take vulgar step against spying - CNN Video,1 day ago · North Korea has blocked windows in several excessive-upward thrust constructions in Pyongyang in what consultants think is an strive and crack down on...,0.152,0.0,0.848,0.3612,December
42,https://www.theaustralian.com.au/world/kim-jongun-new-missiles-and-old-insults/news-story/59fb1c1b098567978b599309a0288dc7,Kim Jong-un: new missiles and old insults,"1 day ago · A senior Pyongyang official recently threatened the US with an unwelcome “Christmas gift” as Kim Jong-un, the north's leader, escalates pressure on...",0.0,0.318,0.682,-0.4215,December
43,https://asia.nikkei.com/Spotlight/Comment/How-ASEAN-can-gain-from-South-Korea-relations-and-Kim-Jong-Un,How ASEAN can gain from South Korea relations -- and Kim Jong Un,"1 day ago · 25, North Korea's state media Korean Central News Agency reported that leader Kim Jong Un had received a summit invitation from Seoul but that he had...",0.221,0.0,0.779,0.5267,December
44,https://news.cgtn.com/news/2019-12-15/DPRK-to-develop-another-strategic-weapon-to-counter-U-S-threat-MraGmfTgVW/index.html,DPRK to develop 'another strategic weapon' to counter U.S. threat,"1 day ago · DPRK leader Kim Jong Un oversees a super-large multiple launch rocket system test in this undated picture released by the KCNA on November 28, 2019.",0.0,0.412,0.588,-0.6808,December
45,https://www.ibtimes.com/north-korea-news-pyongyang-carries-out-another-crucial-test-rocket-launch-site-2885571,North Korea News: Pyongyang Carries Out Another 'Crucial Test' At ...,"1 day ago · President Trump had recently said that North Korean leader Kim Jong Un ""likes shooting rockets up"" in reference to recent rocket launches and called him...",0.0,0.0,1.0,0.0,December
